open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,taker_buy_asset_volume,taker_buy_quote_volume,number_of_trades,price
1734516600000,104161.67000000,104334.75000000,104161.67000000,104204.97000000,45.72368000,1734516899999,4766400.58054940,7263,30.53657000,3183014.35337850,104183.32
1734516900000,104204.98000000,104204.98000000,104098.90000000,104098.90000000,45.69096000,1734517199999,4758220.07540750,5960,15.88007000,1653862.40833270,104151.94
1734517200000,104098.91000000,104199.99000000,104055.88000000,104185.56000000,30.48683000,1734517499999,3173658.64536560,11760,14.85056000,1545966.51418780,104142.235
1734517500000,104185.57000000,104297.60000000,104185.57000000,104287.19000000,35.19442000,1734517799999,3668583.65932030,5319,27.95040000,2913383.23925400,104236.38
1734517800000,104287.19000000,104291.36000000,104210.04000000,104210.23000000,56.04093000,1734518099999,5842568.85983980,7958,18.41670000,1920003.66200830,104248.70999999999
1734518100000,104210.24000000,104329.20000000,104201.30000000,104324.93000000,40.02964000,1734518399999,4173275.89404070,9600,23.70363000,2470896.66967020,104267.58499999999
1734518400000,104324.92000000,104500.00000000,104324.92000000,104500.00000000,36.08693000,1734518699999,3767977.04540650,8136,27.00395000,2819616.04518630,104412.45999999999
1734518700000,104500.00000000,104659.25000000,104436.77000000,104627.62000000,92.02760000,1734518999999,9622444.41108530,15963,67.56005000,7064170.71706480,104563.81
1734519000000,104627.63000000,104636.61000000,104570.40000000,104592.49000000,48.91466000,1734519299999,5116587.01011200,6541,23.76650000,2485974.15422360,104610.06
1734519300000,104592.50000000,104613.54000000,104517.90000000,104531.03000000,42.02232000,1734519599999,4393622.51425400,8928,18.85731000,1971531.67392460,104561.765
1734519600000,104531.03000000,104623.42000000,104500.00000000,104623.41000000,43.17513000,1734519899999,4514197.10226230,7499,21.25966000,2223172.48075780,104577.22
1734519900000,104623.41000000,104714.59000000,104623.41000000,104656.38000000,60.47215000,1734520199999,6330009.62213650,8211,37.88596000,3965522.88526810,104639.895
1734520200000,104656.38000000,104715.06000000,104656.37000000,104666.05000000,50.78824000,1734520499999,5317354.70243770,8475,27.31953000,2860251.09969960,104661.215
1734520500000,104666.04000000,104679.67000000,104585.15000000,104637.99000000,102.68795000,1734520799999,10744266.21961600,12289,38.84710000,4064562.83002140,104652.015
1734520800000,104637.99000000,104736.43000000,104596.01000000,104736.43000000,48.59316000,1734521099999,5085781.92234380,9696,37.01199000,3873775.89149740,104687.20999999999
1734521100000,104736.43000000,104802.22000000,104724.56000000,104740.00000000,85.75704000,1734521399999,8984639.59894830,8196,55.99707000,5866520.70450080,104738.215
1734521400000,104739.99000000,104807.56000000,104686.72000000,104802.27000000,55.43629000,1734521699999,5807136.17332740,10587,32.42271000,3396317.77746010,104771.13
1734521700000,104802.27000000,104987.07000000,104802.26000000,104946.69000000,107.12552000,1734521999999,11240227.15031420,13065,70.16380000,7361507.00424230,104874.48000000001
1734522000000,104946.69000000,104972.48000000,104881.00000000,104893.91000000,72.02095000,1734522299999,7557237.32465640,9975,44.40975000,4660080.88893230,104920.3
1734522300000,104893.90000000,104893.90000000,104727.01000000,104811.29000000,87.17398000,1734522599999,9136348.13115610,14655,36.29111000,3803100.69965950,104852.595
1734522600000,104811.29000000,104926.73000000,104811.28000000,104926.73000000,61.23687000,1734522899999,6422609.70141940,11073,35.30472000,3702755.42362890,104869.01
1734522900000,104926.73000000,105033.33000000,104908.00000000,105028.33000000,103.70311000,1734523199999,10886520.78131820,14256,75.00100000,7873448.91371690,104977.53
1734523200000,105028.33000000,105199.99000000,104940.26000000,105180.35000000,196.07401000,1734523499999,20601790.91711570,22372,99.32260000,10438061.91238940,105104.34
1734523500000,105180.35000000,105210.00000000,105120.00000000,105173.68000000,139.92161000,1734523799999,14716240.42346340,15902,69.56422000,7316333.78931920,105177.015
1734523800000,105173.68000000,105310.33000000,105125.35000000,105310.33000000,239.02088000,1734524099999,25156691.67372340,16091,199.84797000,21034214.43451050,105242.005
1734524100000,105310.33000000,105350.00000000,105229.37000000,105263.74000000,99.48479000,1734524399999,10476973.07457950,20070,49.36115000,5198589.92461630,105287.035
1734524400000,105263.75000000,105263.75000000,105120.88000000,105130.55000000,79.04123000,1734524699999,8314216.01551940,19173,35.72437000,3757636.32399510,105197.15
1734524700000,105130.54000000,105130.55000000,104930.10000000,104930.11000000,83.11116000,1734524999999,8727965.20653650,23908,30.50150000,3202880.12508980,105030.325
1734525000000,104930.10000000,104971.00000000,104776.71000000,104896.55000000,144.65024000,1734525299999,15169503.67059000,25281,77.59100000,8136694.82168850,104913.32500000001
1734525300000,104896.56000000,104896.56000000,104756.09000000,104761.37000000,79.33715000,1734525599999,8316007.43831620,21274,21.13049000,2215017.29314700,104828.965
1734525600000,104761.36000000,104967.99000000,104712.12000000,104929.44000000,106.18630000,1734525899999,11135175.25196870,17174,70.88172000,7434260.19234130,104845.4
1734525900000,104929.45000000,105090.77000000,104868.00000000,104868.01000000,78.45894000,1734526199999,8237840.77470020,16325,34.95002000,3669496.11162950,104898.73
1734526200000,104868.01000000,104868.01000000,104687.44000000,104731.70000000,112.18954000,1734526499999,11752585.19474970,19874,34.36712000,3600386.55426140,104799.855
1734526500000,104731.71000000,105025.00000000,104687.44000000,104920.01000000,70.71374000,1734526799999,7415292.98269040,17595,38.79119000,4066821.22672020,104825.86
1734526800000,104920.02000000,104920.02000000,104741.65000000,104749.99000000,39.33867000,1734527099999,4122691.91214700,14437,15.19621000,1592435.41220140,104835.005
1734527100000,104749.99000000,104990.50000000,104749.99000000,104983.73000000,82.44165000,1734527399999,8647899.98912070,16387,58.41036000,6127352.37345440,104866.86
1734527400000,104983.74000000,105047.42000000,104928.00000000,105008.00000000,56.95400000,1734527699999,5980399.29918500,9850,30.99509000,3254479.43115230,104995.87
1734527700000,105007.39000000,105271.80000000,104989.41000000,105176.02000000,112.32726000,1734527999999,11813346.66522100,16602,75.83972000,7975430.49093140,105091.705
1734528000000,105176.01000000,105225.51000000,105056.00000000,105073.46000000,47.00366000,1734528299999,4942060.76979450,12986,18.43449000,1938268.64833970,105124.735
1734528300000,105073.46000000,105102.61000000,105004.00000000,105064.48000000,46.52580000,1734528599999,4888240.27852580,11851,16.33072000,1715765.60392750,105068.97
1734528600000,105064.47000000,105064.48000000,104909.25000000,104960.56000000,84.30036000,1734528899999,8850671.08083680,16982,25.73495000,2701815.83553990,105012.515
1734528900000,104960.56000000,105010.60000000,104898.57000000,104898.58000000,63.80966000,1734529199999,6696724.71065280,12230,30.14286000,3163561.84273740,104929.57
1734529200000,104898.57000000,104934.67000000,104768.95000000,104768.96000000,71.46487000,1734529499999,7495588.89385230,10146,17.26420000,1810822.23464210,104833.76500000001
1734529500000,104768.96000000,104852.94000000,104675.56000000,104743.10000000,155.88829000,1734529799999,16330647.95849700,17183,37.08086000,3885432.22180680,104756.03
1734529800000,104743.10000000,104792.11000000,104710.00000000,104749.11000000,58.99525000,1734530099999,6179738.22929590,12869,22.49521000,2356245.91782450,104746.10500000001
1734530100000,104749.10000000,104749.11000000,104532.01000000,104580.58000000,69.41903000,1734530399999,7263870.79957220,12249,24.71755000,2586254.71530950,104664.84
1734530400000,104580.57000000,104731.25000000,104489.79000000,104669.81000000,127.47181000,1734530699999,13330849.72664610,20263,55.03572000,5756851.25867740,104625.19
1734530700000,104669.80000000,104698.87000000,104440.01000000,104593.64000000,85.94787000,1734530999999,8987224.76037690,28314,36.59328000,3826329.45741200,104631.72
1734531000000,104593.65000000,104669.53000000,104500.00000000,104500.00000000,129.36258000,1734531299999,13528396.66529410,18241,51.67643000,5404583.42599730,104546.825
1734531300000,104500.00000000,104851.61000000,104480.01000000,104819.84000000,125.59791000,1734531599999,13152234.77251670,18307,79.94691000,8372836.72224410,104659.92
1734531600000,104819.85000000,104860.66000000,104600.00000000,104600.01000000,58.59471000,1734531899999,6136005.69096750,18202,21.57570000,2259740.38923140,104709.93
1734531900000,104600.01000000,104692.00000000,104444.35000000,104692.00000000,86.45748000,1734532199999,9041407.71277450,15106,30.18987000,3156840.52353060,104646.005
1734532200000,104692.00000000,104740.28000000,104000.00000000,104140.02000000,660.82916000,1734532499999,68901391.68248460,57219,169.70809000,17698593.43589900,104416.01000000001
1734532500000,104140.02000000,104299.57000000,103855.07000000,104010.87000000,390.11718000,1734532799999,40591694.07479250,59860,136.88868000,14240524.50558980,104075.445
1734532800000,104010.86000000,104489.45000000,103900.00000000,104489.44000000,291.74444000,1734533099999,30406669.38615500,50916,127.42825000,13277522.05553440,104250.15
1734533100000,104489.44000000,104652.00000000,104264.01000000,104264.02000000,252.62455000,1734533399999,26388027.56149590,60809,126.96807000,13260603.11816450,104376.73000000001
1734533400000,104264.02000000,104489.79000000,104048.00000000,104157.58000000,270.65983000,1734533699999,28223419.74707450,45373,175.90167000,18344629.66586360,104210.8
1734533700000,104157.58000000,104216.00000000,103891.32000000,104019.93000000,277.24009000,1734533999999,28844933.93162290,44304,152.04285000,15818066.85937110,104088.755
1734534000000,104019.94000000,104062.97000000,103696.00000000,103708.34000000,201.98856000,1734534299999,20976015.06542680,47199,91.53926000,9506528.59275120,103864.14
1734534300000,103708.33000000,104062.97000000,103650.00000000,103716.00000000,349.55854000,1734534599999,36294243.58833550,58150,212.59760000,22072153.64746460,103712.16500000001
1734534600000,103715.99000000,104122.22000000,103696.01000000,104122.22000000,275.54163000,1734534899999,28639585.16951530,44081,204.46105000,21251107.47521970,103919.10500000001
1734534900000,104122.21000000,104230.04000000,103976.98000000,104026.94000000,193.50742000,1734535199999,20147577.43491840,39742,94.29938000,9819105.71452590,104074.57500000001
1734535200000,104026.95000000,104311.34000000,103980.00000000,104207.99000000,164.19326000,1734535499999,17101744.41075100,33868,82.69403000,8613395.64503920,104117.47
1734535500000,104207.98000000,104222.99000000,103924.00000000,104151.04000000,143.97736000,1734535799999,14987857.03354570,36545,78.73197000,8196230.93907290,104179.51
1734535800000,104151.05000000,104290.23000000,104013.03000000,104145.33000000,163.58577000,1734536099999,17041747.24099270,46521,72.21262000,7522896.48993380,104148.19
